District,Type_of_sl,LU_2010,LU_2018,POINT_X,POINT_Y,Rainfall(mm),Normal(mm)
5,1,15,15,76.849175,9.707202,2137.6,1452.6
5,1,15,15,76.815486,9.731705,2137.6,1452.6
5,1,15,15,76.862057,9.616597,2137.6,1452.6
5,1,15,15,76.90502,9.64532,2137.6,1452.6
5,1,15,15,76.90203,9.64688,2137.6,1452.6
5,1,15,15,76.834794,9.699512,2137.6,1452.6
5,3,15,15,76.89131,9.643511,2137.6,1452.6
5,3,15,15,76.826316,9.633019,2137.6,1452.6
5,1,15,15,76.888664,9.628509,2137.6,1452.6
5,3,15,15,76.873876,9.623814,2137.6,1452.6
5,1,16,16,76.901106,9.658987,2137.6,1452.6
5,1,16,16,76.88964,9.708436,2137.6,1452.6
5,1,16,16,76.866989,9.727229,2137.6,1452.6
5,1,16,16,76.869924,9.727035,2137.6,1452.6
5,1,16,16,76.863703,9.723283,2137.6,1452.6
5,1,16,16,76.89782,9.666871,2137.6,1452.6
5,3,16,16,76.903958,9.658738,2137.6,1452.6
5,1,16,16,76.865452,9.639971,2137.6,1452.6
5,1,16,16,76.976768,9.48978,2137.6,1452.6
5,1,20,20,76.887525,9.648832,2137.6,1452.6
5,1,20,20,76.88979,9.65001,2137.6,1452.6
5,1,21,21,76.90231,9.658705,2137.6,1452.6
5,3,21,21,76.90342,9.65309,2137.6,1452.6
5,1,21,21,76.86824,9.63894,2137.6,1452.6
5,1,21,21,76.86842,9.64372,2137.6,1452.6
5,1,21,21,76.86787,9.64449,2137.6,1452.6
5,1,21,21,76.87125,9.63086,2137.6,1452.6
5,1,21,21,76.82231,9.73388,2137.6,1452.6
5,1,21,21,76.90318,9.6534,2137.6,1452.6
5,1,21,21,76.890806,9.696738,2137.6,1452.6
5,3,21,21,76.853696,9.663652,2137.6,1452.6
5,1,1,21,76.905861,9.661717,2137.6,1452.6
5,1,1,21,76.908414,9.660174,2137.6,1452.6
5,1,21,21,76.884398,9.650724,2137.6,1452.6
5,1,21,21,76.872356,9.646029,2137.6,1452.6
5,1,21,21,76.871805,9.646056,2137.6,1452.6
5,1,24,24,76.862802,9.613926,2137.6,1452.6
5,1,24,24,76.863106,9.613612,2137.6,1452.6
5,1,24,24,76.82049,9.74295,2137.6,1452.6
5,1,24,24,76.905756,9.659213,2137.6,1452.6
5,3,24,24,76.864404,9.616766,2137.6,1452.6
5,1,15,24,76.882302,9.662377,2137.6,1452.6
5,1,15,24,76.883493,9.650747,2137.6,1452.6
5,1,24,24,76.871768,9.646391,2137.6,1452.6
5,1,24,24,76.866604,9.64481,2137.6,1452.6
5,1,24,24,76.867034,9.644238,2137.6,1452.6
5,1,24,24,76.876264,9.639645,2137.6,1452.6
5,1,24,24,76.876273,9.639972,2137.6,1452.6
5,1,24,24,76.87617,9.640096,2137.6,1452.6
5,3,15,24,76.87178,9.614906,2137.6,1452.6
6,1,14,14,75.913773,11.549874,2796.4,2156.5
6,1,1,1,76.073921,11.345516,2796.4,2156.5
6,1,1,1,75.989385,11.536399,2796.4,2156.5
6,1,1,1,75.989146,11.533693,2796.4,2156.5
6,1,1,1,75.988781,11.53366,2796.4,2156.5
6,1,1,1,75.99082,11.530945,2796.4,2156.5
6,1,1,1,75.985345,11.536302,2796.4,2156.5
6,1,1,1,75.991256,11.530397,2796.4,2156.5
6,1,1,1,75.991753,11.530457,2796.4,2156.5
6,1,1,1,75.988052,11.535008,2796.4,2156.5
6,1,1,1,75.984353,11.536275,2796.4,2156.5
6,1,1,1,76.000585,11.522099,2796.4,2156.5
6,1,1,1,75.982843,11.533219,2796.4,2156.5
6,1,1,1,75.98367,11.530019,2796.4,2156.5
6,1,1,1,75.98395,11.53066,2796.4,2156.5
6,1,1,1,75.987186,11.536756,2796.4,2156.5
6,1,1,1,75.992341,11.533798,2796.4,2156.5
6,1,1,1,75.993047,11.535253,2796.4,2156.5
6,1,1,1,75.993445,11.535739,2796.4,2156.5
6,1,1,1,75.994945,11.534369,2796.4,2156.5
6,1,1,1,75.994285,11.535479,2796.4,2156.5
6,1,1,1,75.995161,11.534085,2796.4,2156.5
6,1,1,1,75.996305,11.53368,2796.4,2156.5
6,1,1,1,75.996963,11.530759,2796.4,2156.5
6,1,1,1,75.99806,11.526057,2796.4,2156.5
6,1,1,1,76.004599,11.519966,2796.4,2156.5
6,1,1,1,76.005001,11.5151,2796.4,2156.5
6,1,1,1,76.006611,11.51815,2796.4,2156.5
6,1,1,1,76.109727,11.450229,2796.4,2156.5
6,1,1,1,76.108436,11.450587,2796.4,2156.5
6,1,1,1,76.110069,11.44888,2796.4,2156.5
6,1,1,1,76.111527,11.443945,2796.4,2156.5
6,1,1,1,76.118687,11.441531,2796.4,2156.5
6,1,1,1,76.108268,11.439368,2796.4,2156.5
6,1,1,1,76.106511,11.439424,2796.4,2156.5
6,1,1,1,76.105403,11.43618,2796.4,2156.5
6,1,1,1,76.10231,11.438783,2796.4,2156.5
6,1,1,1,76.049265,11.502646,2796.4,2156.5
6,1,1,1,76.050935,11.498616,2796.4,2156.5
6,1,1,1,76.0869,11.486321,2796.4,2156.5
6,1,1,1,76.132594,11.460904,2796.4,2156.5
6,1,1,1,76.130198,11.460764,2796.4,2156.5
6,1,1,1,76.133665,11.459337,2796.4,2156.5
6,1,1,1,76.135024,11.459642,2796.4,2156.5
6,1,1,1,76.135432,11.459642,2796.4,2156.5
6,1,1,1,76.135616,11.459377,2796.4,2156.5
6,1,1,1,76.136575,11.455804,2796.4,2156.5
6,1,1,1,76.138576,11.454186,2796.4,2156.5
6,1,1,1,76.140183,11.453388,2796.4,2156.5
6,1,1,1,76.137266,11.455523,2796.4,2156.5
6,1,1,1,76.13751,11.454907,2796.4,2156.5
6,1,1,1,76.127782,11.457629,2796.4,2156.5
6,1,1,1,76.112468,11.438705,2796.4,2156.5
6,1,1,1,76.114713,11.43873,2796.4,2156.5
6,1,1,1,76.117521,11.439137,2796.4,2156.5
6,1,1,1,76.121243,11.437527,2796.4,2156.5
6,1,1,1,76.123051,11.436111,2796.4,2156.5
6,1,1,1,76.121086,11.437356,2796.4,2156.5
6,1,1,1,76.120645,11.43698,2796.4,2156.5
6,1,1,1,76.12385,11.435375,2796.4,2156.5
6,1,1,1,76.126929,11.433677,2796.4,2156.5
6,1,1,1,76.123275,11.426545,2796.4,2156.5
6,1,1,1,76.118894,11.423613,2796.4,2156.5
6,1,1,1,76.100892,11.425002,2796.4,2156.5
6,3,1,1,76.102008,11.423768,2796.4,2156.5
6,1,1,1,75.779649,11.767723,2796.4,2156.5
6,1,1,1,75.996739,11.522085,2796.4,2156.5
6,1,1,1,76.110571,11.428142,2796.4,2156.5
6,3,1,1,76.078419,11.339083,2796.4,2156.5
6,1,1,1,76.08056,11.339202,2796.4,2156.5
6,1,3,3,76.104233,11.477345,2796.4,2156.5
6,1,4,4,76.084421,11.331203,2796.4,2156.5
6,1,10,10,75.930396,11.474618,2796.4,2156.5
6,1,10,10,75.88011,11.51956,2796.4,2156.5
6,1,13,10,76.111049,11.319193,2796.4,2156.5
6,1,13,10,76.111494,11.319018,2796.4,2156.5
6,1,10,10,76.11188,11.32288,2796.4,2156.5
6,1,10,10,76.10091,11.33124,2796.4,2156.5
6,1,10,10,76.063011,11.45892,2796.4,2156.5
6,1,10,10,76.0604,11.4516,2796.4,2156.5
6,1,10,10,76.06418,11.44703,2796.4,2156.5
6,1,10,10,76.07776,11.392476,2796.4,2156.5
6,1,10,10,76.059707,11.352599,2796.4,2156.5
6,1,10,10,76.05895,11.35099,2796.4,2156.5
6,1,15,10,76.084643,11.380724,2796.4,2156.5
6,1,10,10,76.056283,11.30113,2796.4,2156.5
6,1,10,10,76.05678,11.3001,2796.4,2156.5
6,1,10,10,76.06978,11.35579,2796.4,2156.5
6,1,10,10,76.05552,11.30005,2796.4,2156.5
6,1,10,10,76.062686,11.459786,2796.4,2156.5
6,1,10,10,76.062737,11.459541,2796.4,2156.5
6,1,10,10,75.901062,11.506542,2796.4,2156.5
6,1,10,10,76.097205,11.325966,2796.4,2156.5
6,1,15,10,75.875669,11.516942,2796.4,2156.5
6,3,15,10,76.107234,11.453452,2796.4,2156.5
6,1,24,10,76.095911,11.363947,2796.4,2156.5
6,1,24,10,76.115575,11.327262,2796.4,2156.5
6,1,24,10,76.118233,11.325625,2796.4,2156.5
6,1,15,10,76.11163,11.321393,2796.4,2156.5
6,1,13,13,76.05896,11.35419,2796.4,2156.5
6,1,13,13,76.058014,11.30346,2796.4,2156.5
6,3,14,14,76.10913,11.39678,2796.4,2156.5
6,1,14,14,75.91303,11.55711,2796.4,2156.5
6,1,14,14,75.91486,11.56103,2796.4,2156.5
6,1,14,14,75.91486,11.5561,2796.4,2156.5
6,1,14,14,75.9132,11.557,2796.4,2156.5
6,1,14,14,76.013069,11.518633,2796.4,2156.5
6,1,14,14,76.112538,11.447669,2796.4,2156.5
6,1,14,14,76.118605,11.446377,2796.4,2156.5
6,1,14,14,76.104802,11.438573,2796.4,2156.5
6,1,14,14,76.079802,11.514637,2796.4,2156.5
6,1,14,14,76.087626,11.484533,2796.4,2156.5
6,3,14,14,76.087206,11.483789,2796.4,2156.5
6,1,14,14,76.137152,11.436092,2796.4,2156.5
6,1,14,14,76.118565,11.439438,2796.4,2156.5
6,1,14,14,76.120726,11.438148,2796.4,2156.5
6,1,14,14,76.113861,11.426504,2796.4,2156.5
6,1,14,14,76.110372,11.418883,2796.4,2156.5
6,1,14,14,76.110899,11.418274,2796.4,2156.5
6,1,14,14,76.099088,11.415315,2796.4,2156.5
6,1,14,14,76.088694,11.416606,2796.4,2156.5
6,1,14,14,75.993953,11.520545,2796.4,2156.5
6,1,14,14,76.100701,11.438117,2796.4,2156.5
6,1,1,14,76.011531,11.50489,2796.4,2156.5
6,2,15,15,75.89815,11.51611,2796.4,2156.5
6,1,15,15,75.862808,11.518112,2796.4,2156.5
6,1,15,15,75.86513,11.52623,2796.4,2156.5
6,3,15,15,75.86695,11.52966,2796.4,2156.5
